COUNTRY,TOTAL_CASES,TOTAL_DEATHS,TOTAL_TASTS,TOTAL_RECOVERED,POPULATION
"
North America
",130054070,1664192,,125594669,
"
Asia
",221101978,1552340,,205267325,
"
Europe
",252523891,2090931,,247813016,
"
South America
",69452154,1364096,,66581324,
"
Oceania
",14705715,31961,,14519899,
"
Africa
",12857041,258874,,12089870,
"

",721,15,,706,
Mauritius,43025,1051,358675,41278,1274727
Mayotte,42027,188,176919,N/A,286259
Togo,39552,290,812881,39259,8680837
Guinea,38572,468,660107,37757,13865691
Bahamas,38084,844,257839,36366,400516
Isle of Man,38008,116,150753,N/A,85732
Lesotho,35892,723,431221,25980,2175699
Faeroe Islands,34658,28,778000,N/A,49233
Haiti,34501,860,132422,33372,11680283
Mali,33162,743,804909,32332,21473764
Cayman Islands,31472,37,222773,8553,67277
Saint Lucia,30209,410,210983,29799,185113
Benin,28036,163,604310,27847,12784726
Somalia,27334,1361,400466,13182,16841795
Micronesia,26547,65,82430,N/A,117489
Solomon Islands,25954,199,,N/A,721159
Congo,25375,386,347815,24006,5797805
San Marino,25292,126,196855,24760,34085
Timor-Leste,23460,138,278529,23102,1369429
Burkina Faso,22107,400,248995,21596,22102838
Liechtenstein,21561,94,112457,N/A,38387
Gibraltar,20550,113,534283,N/A,33704
Macao,20422,123,7850,3487,667490
Grenada,19693,238,182981,19358,113475
Bermuda,18860,165,1029558,18685,61939
South Sudan,18765,147,410280,18115,11618511
Nicaragua,18491,225,,4225,6779100
Tajikistan,17786,125,,17264,9957464
Equatorial Guinea,17229,183,365697,16907,1496662
Monaco,17181,67,78646,N/A,39783
Samoa,16942,31,187397,1605,202239
Tonga,16888,13,535009,15638,107749
Marshall Islands,16138,17,,16121,60057
Dominica,16038,74,229344,15964,72344
Djibouti,15690,189,305941,15427,1016097
CAR,15440,113,81294,15200,5016678
Gambia,12626,372,155686,12189,2558482
Saint Martin,12324,63,112382,N/A,39730
Vanuatu,12019,14,24976,11976,321832
Greenland,11971,21,164926,2761,56973
Yemen,11945,2159,329592,9124,31154867
Caribbean Netherlands,11682,38,30126,10476,26647
Sint Maarten,11051,92,62056,10905,43966
Eritrea,10189,103,23693,10086,3662244
Niger,9931,312,254538,8890,26083660
St. Vincent Grenadines,9674,124,114197,9493,111551
Guinea-Bissau,9614,177,145231,8929,2063367
Comoros,9109,161,,8939,907419
Antigua and Barbuda,9106,146,18901,8954,99509
Liberia,8090,295,139824,7783,5305117
Sierra Leone,7766,126,259958,N/A,8306436
Chad,7701,194,191341,4874,17413580
British Virgin Islands,7392,64,107339,N/A,30596
Cook Islands,7174,2,19690,7150,17571
Sao Tome and Principe,6743,80,29473,6661,227679
Turks and Caicos,6711,40,615226,6658,39741
Saint Kitts and Nevis,6607,48,126958,6559,53871
Palau,6265,9,71077,6252,18233
St. Barth,5507,6,78646,N/A,9945
Nauru,5393,1,20509,5347,10903
Kiribati,5085,24,,2703,123419
Anguilla,3904,12,51382,N/A,15230
Wallis and Futuna,3550,8,20508,438,10982
Saint Pierre Miquelon,3452,2,25400,2449,5759
Tuvalu,2943,1,,N/A,12066
Saint Helena,2166, ,,2,6115
Falkland Islands,1930, ,8632,1930,3539
Montserrat,1403,8,17762,1376,4965
Niue,993, ,,950,1622
Diamond Princess,712,13,,699, 
Tokelau,80, ,,,1378
Vatican City,29, ,,29,799
Western Sahara,10,1,,9,626161
MS Zaandam,9,2,,7, 
China,503302,5272,160000000,379053,1448471400
